Altium Designer Pick and Place Locations
B:\Applications\hardware\pca20035\trunk\production_files\400390_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       21.01.21
Time:       12:24
Revision:   18791
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"L10","4.7nH","TopLayer","INDC0603X03L_C","21.8469","5.9762","360","Inductor, 350mA, ±3%"
"C20","1.0pF","TopLayer","CAPC0603X03L_C","21.3007","5.1379","90","Capacitor, NP0, ±0.05pF, 50V"
"L9","3.9nH","TopLayer","INDC0603X03L_C","20.7547","5.9761","360","Inductor, 400mA, ±0.1nH"
"C32","4.7µF","TopLayer","CAPC1608X06L","14.9626","9.1550","180","Capacitor, X7R, ±10%, 6.3V"
"C31","12pF","TopLayer","CAPC0603X03L_C","14.6050","5.9436","180","Capacitor, NP0, ±2%"
"C30","12pF","TopLayer","CAPC0603X03L_C","14.6050","4.6228","180","Capacitor, NP0, ±2%"
"C21","100nF","TopLayer","CAPC0603X03L_C","15.6298","4.0174","180","Capacitor, X5R, ±10%"
"C22","4.7µF","TopLayer","CAPC1608X06L","14.9626","6.8182","180","Capacitor, X7R, ±10%, 6.3V"
"C24","100nF","TopLayer","CAPC0603X03L_C","19.7454","8.7926","90","Capacitor, X5R, ±10%"
"C25","820pF","TopLayer","CAPC0603X03L_C","21.3456","7.9732","45","Capacitor, X7R, ±10%"
"C23","100nF","TopLayer","CAPC0603X03L_C","18.5500","8.7926","90","Capacitor, X5R, ±10%"
"U6","nRF52840_CKAA","TopLayer","BGA94C35P10X10_352X356X50","18.3222","6.1510","180","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"X2","32.768kHz","TopLayer","XTAL_1610","15.6718","5.2781","90","XTAL SMD 1610, 32.768kHz, 9pF, ±20ppm"
"C33","4.7µF","TopLayer","CAPC1608X06L","14.9626","7.9866","180","Capacitor, X7S, ±10%, 10V"
"TP27","Ø1.5mm,SMD","TopLayer","TP_SMD_Ø1.5mm","4.0000","8.5000","0","1.5mm circular SMD testpad"
"TP29","Ø1.5mm,SMD","TopLayer","TP_SMD_Ø1.5mm","7.0000","8.5000","0","1.5mm circular SMD testpad"
"TP15","Ø1.5mm,SMD","TopLayer","TP_SMD_Ø1.5mm","27.0000","9.5000","0","1.5mm circular SMD testpad"
"TP10","Ø1.5mm,SMD","TopLayer","TP_SMD_Ø1.5mm","3.0000","34.0000","0","1.5mm circular SMD testpad"
"TP9","Ø1.5mm,SMD","TopLayer","TP_SMD_Ø1.5mm","3.0000","31.0000","0","1.5mm circular SMD testpad"
"C55","100nF","BottomLayer","CAPC0603X03L_C","18.5928","13.2588","360","Capacitor, X5R, ±10%"
"R39","100k","BottomLayer","RESC0603X03L_C","5.3594","16.3068","270","Resistor, ±1%, 0.05W"
"TP28","Ø1.5mm,SMD","TopLayer","TP_SMD_Ø1.5mm","4.0000","11.0000","0","1.5mm circular SMD testpad"
"U12","FSA2466UMX","BottomLayer","XQFN40P180X260X50-16N","16.3576","12.4714","90","Data / Audio Low-Voltage Dual DPDT Analog Switch"
